titre;réalisateur;année de sortie;nationalité;entrées
Les Canons de Navarone;J. Lee Thompson;1961;US;10181324.0
Le Cinquième Elément;L. Besson;1997;FR;7708454.0
Jean de Florette;C. Berri;1986;FR;7224769.0
Astérix aux Jeux Olympiques;F. Forestier, T. Langmann;2008;FR/DE/ES/IT;6807590.0
Sissi impératrice;E. Marischka;1957;AT;6429021.0
Le Gendarme et les extra-terrestres;J. Girault;1979;FR;6280079.0
Indiana Jones et la dernière croisade;S. Spielberg;1989;US;6256027.0
Germinal;C. Berri;1993;FR/BE;6147517.0
A nous les petites Anglaises;M. Lang;1976;FR;5704446.0
Bons baisers de Russie;T. Young;1964;GB;5625111.0
Le Petit Nicolas;L. Tirard;2009;FR/BE;5615304.0
Bienvenue chez les Ch'tis;D. Boon;2008;FR;20444273.0
Orange mécanique;S. Kubrick;1972;GB;7625197.0
Quo Vadis;M. Le Roy;1953;US;6305624.0
Terminator 2 - le jugement dernier;J. Cameron;1991;US;6006342.0
La Bataille du rail;R. Clément;1946;FR;5727869.0
La Belle et le clochard;W. Disney;1955;US;11246330.0
Manon des sources;C. Berri;1986;FR;6645982.0
Quatre mariages et un enterrement;M. Newell;1994;GB;5781268.0
Les Valseuses;B. Blier;1974;FR;5728814.0
Lawrence d'Arabie;D. Lean;1963;GB;5717430.0
La Ch'tite Famille;D. Boon;2018;FR;5619983.0
Harry Potter et la chambre des secrets;C. Colombus;2002;US;8843598.0
Les Bidasses en folie;C. Zidi;1971;FR;7460911.0
Jour de fête;J. Tati;1949;FR;7365654.0
Le Cercle des poètes disparus;P. Weir;1989;US;6601705.0
Le Bon, la brute et le truand;S. Leone;1968;IT;6347754.0
Crocodile Dundee;P. Faiman;1987;AU;5887982.0
Rambo 2 - la mission;G.P. Cosmatos;1985;US;5851074.0
Matrix Reloaded;L. Wachowski, A. Wachowski;2003;US;5659265.0
Le Cerveau;G. Oury;1969;FR/IT;5548595.0
Les Visiteurs;J.M. Poiré;1993;FR;13672366.0
Les Aventures de Rabbi Jacob;G. Oury;1973;FR/IT;7295862.0
Monsieur Vincent;M. Cloche;1947;FR;7056964.0
Grease;R. Kleiser;1978;US;5738496.0
Les Indestructibles 2;B. Brad;2018;US;5737042.0
Le Gendarme à New-York;J. Girault;1965;FR/IT;5495059.0
Sous le plus grand chapiteau du monde;C.B. DeMille;1953;US;9488114.0
West Side Story;R. Wise, J. Robbins;1962;US;8772729.0
Violettes impériales;R. Pottier;1952;FR/ES;8125846.0
Pirates des Caraïbes - le secret du coffre maudit;G. Verbinski;2006;US;6522015.0
Les Aventuriers de l'arche perdue;S. Spielberg;1981;US;6404276.0
Ivanhoé;R. Thorpe;1952;US;6362071.0
Quai des Orfèvres;H.G. Clouzot;1947;FR;5563937.0
Le Petit Baigneur;R. Dhéry;1968;FR/IT;5542856.0
Cendrillon;W. Disney;1950;US;13266725.0
Taxi;G. Pires;1998;FR;6485260.0
Qui veut la peau de Roger Rabbit ?;R. Zemeckis;1988;US;5908227.0
Pirates des Caraïbes - jusqu'au bout du monde;G. Verbinski;2007;US;5639260.0
Les 101 Dalmatiens;W. Disney;1961;US;14695156.0
Les Aristochats;W. Reitherman;1971;US;12720164.0
Le Seigneur des anneaux - la communauté de l'anneau;P. Jackson;2001;NZ;6992901.0
Michel Strogoff;C. Gallone;1956;FR/IT;6869247.0
l'Age de glace 4 : la dérive des continents;M.Thurmeier, S. Martino;2012;US;6642048.0
La Belle au bois dormant;W. Disney;1959;US;6592137.0
Notre-Dame de Paris;J. Delannoy;1956;FR/IT;5699984.0
Titanic;J. Cameron;1998;US;21778011.0
Avatar;J. Cameron;2009;US;14782116.0
Bambi;W. Disney;1948;US;10713587.0
Les Choristes;C. Barratier;2004;FR/CH;8468985.0
Rien à déclarer;D. Boon;2011;FR/BE;8140510.0
Ratatouille;B. Bird, J. Pinkava;2007;US;7718775.0
Jeanne d'Arc;V. Fleming;1949;US;7092799.0
L'Odyssée du Docteur Wassel;C.B. DeMille;1946;US;5866693.0
Shrek le troisième;C. Miller;2007;US;5536330.0
Le Grand Bleu;L. Besson;1988;FR;9198122.0
Le Dictateur;C. Chaplin;1945;US;8399549.0
L'Âge de glace 3 - le temps des dinosaures;C. Saldanha;2009;US;7836566.0
Samson et Dalila;C.B. DeMille;1951;US;7116461.0
Rain Man;B. Levinson;1989;US;6475666.0
Le Bossu;A. Hunebelle;1959;FR/IT;5846949.0
Les Fous du stade;C. Zidi;1972;FR;5744270.0
Il était une fois dans l'Ouest;S. Leone;1969;IT;14885087.0
Les Bronzés 3 - amis pour la vie;P. Leconte;2006;FR;10229483.0
Le Boulanger de Valorgue;H. Verneuil;1953;FR;7889091.0
Le Gendarme de Saint-Tropez;J. Girault;1964;FR/IT;7811358.0
Le Seigneur des anneaux - le retour du roi;P. Jackson;2003;NZ;7404926.0
Le Bossu de Notre-Dame;K. Wise, G. Trousdale;1996;US;6811616.0
Pocahontas, une légende indienne;M. Gabriel, E. Goldberg;1995;US;5631368.0
Intouchables;E. Tolédano, O. Nakache;2011;FR;19508443.0
Harry Potter à l'école des sorciers;C. Colombus;2001;US;9508065.0
Pour qui sonne le glas ?;S. Wood;1947;US;8274759.0
La Symphonie pastorale;J. Delannoy;1946;FR;6373084.0
Harry Potter et les reliques de la mort - 1re partie;D. Yates;2010;GB;6091047.0
L'Aile ou la Cuisse;C. Zidi;1976;FR;5843010.0
Independence Day;R. Emmerich;1996;US;5606839.0
Qu'est-ce qu'on a fait au bon dieu ?;P. De Chauveron;2014;FR;12356225.0
Emmanuelle;J. Jaeckin;1974;FR;8894138.0
Les Aventures de Bernard et Bianca;Collectif;1977;US;7240955.0
Star Wars : épisode 3 - la revanche des Sith;G. Lucas;2005;US;7205953.0
Skyfall;S. Mendes;2012;GB;7001480.0
L'Exorciste;W. Friedkin;1974;US;6719351.0
Rox et Rouky;A. Stevens;1981;US;6715167.0
les Minions;P. Coffin, K. Balda;2015;US;6662339.0
Les Vacances de Monsieur Hulot;J. Tati;1953;FR;5742976.0
Les Tuche 3;O. Baroux;2018;FR;5685447.0
La Folie des grandeurs;G. Oury;1971;FR/DE/ES;5568272.0
Les Petits Mouchoirs;G. Canet;2010;FR;5464288.0
Star Wars : Episode 7, le reveil de la force;J. J. Abrams;2015;US;10333831.0
Taxi 2;G. Krawczyk;2000;FR;10302954.0
la famille Bélier;É. Lartigau;2014;FR;7703627.0
Les Grandes Vacances;J. Girault;1967;FR/IT;6987269.0
Harry Potter et les reliques de la mort - 2e partie;D. Yates;2011;GB;6561608.0
Tant qu'il y aura des hommes;F. Zinnemann;1954;US;6401246.0
Spider-Man 3;S. Raimi;2007;US;6320541.0
Pas si bête;A. Berthomieu;1946;FR;6165419.0
Oscar;E. Molinaro;1967;FR;6123033.0
